Pond,Pot,Plant,Species,Competitor,PlantID,Shade ,Leachate,Above,Rhizome,Below ,Leaves.FA,Leaves.FD,Height.F,Ramets.F
S.Pond12,3,R2,G,G,M-A-7,YS,NL,2.615,3.475,4.595,10,1,72.5,2
S.Pond12,4,R1,L,G,M-H-12,YS,NL,3.382,4.911,7.236,14,3,61.2,2
S.Pond12,4,R2,G,L,C-A-21,YS,NL,1.901,2.351,3.845,9,3,62.6,2
S.Pond12,5,R1,L,L,D-L-4,YS,NL,4.144,3.543,5.408,14,2,61.3,2
S.Pond12,5,R2,L,L,M-L-15,YS,NL,3.391,5.47,8.286,15,3,72.4,3
S.Pond12,6,R1,L,L,D-L-11,YS,NL,1.333,1.943,2.506,8,2,44.8,1
S.Pond12,6,R2,L,L,M-L-15,YS,NL,2.926,2.555,3.302,8,2,51.6,1
L.Pond13,1,R1,L,G,M-L-15,NS,YL,2.757,4.312,5.489,13,2,71,2
L.Pond13,1,R2,G,L,C-A-21,NS,YL,6.287,8.735,11.408,18,3,77.6,3
L.Pond13,2,R1,G,G,C-A-21,NS,YL,0.903,1.645,2.302,14,2,55.4,2
L.Pond13,2,R2,G,G,D-A-19,NS,YL,1.298,1.358,2.187,11,1,48.7,2
L.Pond13,3,R1,L,G,S-L-1,NS,YL,1.753,3.258,4.571,10,1,43.6,2
L.Pond13,3,R2,G,L,M-A-12,NS,YL,1.406,1.057,1.983,10,2,51.5,2
L.Pond13,4,R1,L,L,M-L-5,NS,YL,3.454,4.561,5.74,11,3,53.8,2
L.Pond13,4,R2,L,L,D-L-11,NS,YL,3.709,6.476,9.424,15,2,64.6,2
L.Pond13,5,R1,G,G,M-A-7,NS,YL,3.562,6.543,9.37,17,2,76.2,3
L.Pond13,5,R2,G,G,C-A-21,NS,YL,1.445,3.556,4.789,9,2,51.2,2
L.Pond13,6,R1,L,L,D-L-4,NS,YL,2.532,5.157,7.453,13,3,57.1,2
L.Pond13,6,R2,L,L,M-L-15,NS,YL,3.154,5.355,7.592,9,2,58.5,2
S.Pond14,1,R1,L,G,M-H-12,YS,NL,1.779,1.837,2.361,7,4,47.5,1
S.Pond14,1,R2,G,L,M-A-12,YS,NL,2.109,3.536,4.267,13,2,72.7,2
S.Pond14,2,R1,L,L,M-L-15,YS,NL,2.913,3.455,4.395,10,3,75.9,2
S.Pond14,2,R2,L,L,S-L-1,YS,NL,4.022,4.447,6.515,19,2,76.1,4
S.Pond14,3,R1,G,G,D-A-19,YS,NL,1.843,2.817,3.69,10,2,55.1,2
S.Pond14,3,R2,G,G,M-A-7,YS,NL,2.735,4.18,5.166,9,3,71.1,2
S.Pond14,4,R1,L,L,D-L-4,YS,NL,0.662,0.364,0.705,8,0,35.2,1
S.Pond14,4,R2,L,L,M-H-12,YS,NL,1.369,1.642,2.23,8,2,48.4,1
S.Pond14,5,R1,L,L,M-L-15,YS,NL,1.856,1.897,2.558,9,1,59.9,1
S.Pond14,5,R2,L,L,M-L-5,YS,NL,0.2,0.298,2.098,5,2,21.6,1
S.Pond14,6,R1,L,G,D-L-4,YS,NL,1.871,2.745,3.593,12,2,55.7,2
S.Pond14,6,R2,G,L,D-A-19,YS,NL,1.563,2.588,3.462,11,2,62.2,2
C.Pond15,1,R1,L,L,M-H-12,NS,NL,1.403,1.326,1.932,8,2,45.2,1
C.Pond15,1,R2,L,L,D-L-11,NS,NL,0.693,1.194,1.626,7,1,39.3,1
C.Pond15,2,R1,L,G,M-L-5,NS,NL,1.889,2.904,3.768,14,2,51.4,2
C.Pond15,2,R2,G,L,M-A-12,NS,NL,0.527,0.548,1.03,7,1,37.5,1
C.Pond15,3,R1,G,G,D-A-19,NS,NL,1.208,1.732,2.483,13,1,47.1,3
C.Pond15,3,R2,G,G,M-A-10,NS,NL,1.138,1.276,1.879,11,2,49.2,2
C.Pond15,4,R1,G,G,D-A-19,NS,NL,0.745,0.837,1.123,7,1,42.5,1
C.Pond15,4,R2,G,G,C-A-21,NS,NL,1.498,2.355,3.378,12,1,60,2
C.Pond15,5,R1,L,L,S-L-1,NS,NL,4.716,7.376,10.757,23,3,70.5,3
C.Pond15,5,R2,L,L,M-H-12,NS,NL,0.757,0.602,1.028,6,2,31.2,1
C.Pond15,6,R1,L,L,M-L-5,NS,NL,3.458,4.245,7.606,17,4,60.2,3
C.Pond15,6,R2,L,L,D-L-11,NS,NL,1.991,3.697,5.289,15,3,49.2,3
SL.Pond16,1,R1,L,L,M-L-15,YS,YL,2.402,1.858,3.392,10,1,74.8,1
SL.Pond16,1,R2,L,L,D-L-4,YS,YL,1.378,2.028,3.174,8,2,38.3,1
SL.Pond16,2,R1,L,G,M-H-12,YS,YL,2.659,4.488,7.03,13,1,72,2
SL.Pond16,2,R2,G,L,C-A-21,YS,YL,2.582,3.624,7.025,13,1,82.7,2
SL.Pond16,3,R1,L,G,M-L-5,YS,YL,2.411,4.083,6.967,12,2,72.3,2
SL.Pond16,3,R2,G,L,D-A-19,YS,YL,2.472,5.065,8.059,11,2,73.2,2
SL.Pond16,4,R1,L,L,D-L-11,YS,YL,2.623,5.502,10.166,13,2,70.7,2
SL.Pond16,4,R2,L,L,D-L-4,YS,YL,4.861,5.472,9.438,17,2,73.7,3
SL.Pond16,5,R1,L,L,S-L-1,YS,YL,3.558,6.044,9.898,3,3,81.3,2
SL.Pond16,5,R2,L,L,D-L-11,YS,YL,2.994,5.507,8.253,7,3,67.7,1
SL.Pond16,6,R1,L,L,D-L-4,YS,YL,1.027,1.314,2.015,8,1,49.2,1
SL.Pond16,6,R2,L,L,M-H-12,YS,YL,4.772,5.469,7.079,16,2,80.1,2
